nps_site_name,polyid
ADAMS OUTWASH,DF01
ADAMS ROCK,DF01
ADAMS SAND,DF01
ADAMS SOUTH,DF01
BARTLETT RIVER MOUTH,CF47
BEARDSLEE ISLET,CF48
BOULDER ISLAND,CF48
BOULDER REEF,CF48
CAROLINE SHOAL,DF04
EIDER ISLAND,CF48
FLAPJACK ISLAND,CF48
GARFORTH ISLAND,DF00
GEIKIE INLET,DF14
GEIKIE ROCK,DF13
HUGH MILLER INLET,DF12
HUTCHINS REEF,CF48
ISLAND 29,CF48
KIDNEY REEF,CF48
LELAND REEF,CF49
LINK REEF,CF48
LONE ISLAND,DF13
MCBRIDE INLET,DF29
MUIR INLET,DF30
NORTH MARBLE ISLAND,CF49
POINT CAROLUS,CF50
QUEEN INLET,DF28
REID INLET,DF11
RUSSELL ISLETS NORTH,DF07
RUSSELL ISLETS SOUTH,DF07
SANDY COVE MAINLAND,DF00
SANDY COVE ROCK,DF00
SCIDMORE REEF,DF12
SCIDMORE WEST,DF12
SECRET BAY,CF47
SECRET BAY ENTRANCE,CF48
SITA REEF,CF48
SOUTH MARBLE ISLAND,CF49
SPIDER EAST,CF48
SPIDER ISLAND,CF48
SPIDER REEF,CF48
STURGESS ISLAND,DF00
TARR INLET NORTH,DF09
WACHUSETT INLET OUTWASH,DF31
